experiment_id,method,level,query_id,query,recall@5,mrr@5,latency_ms,n_relevant
002,bm25,L0,L0-01,pedestrian crossing at night intersection,1.0,1.0,1.25,91
002,bm25,L0,L0-02,nighttime driving on poorly lit street,1.0,1.0,0.95,97
002,bm25,L0,L0-03,night urban driving with streetlights,1.0,1.0,0.9,106
002,bm25,L0,L0-04,highway driving with truck overtaking,1.0,1.0,0.83,90
002,bm25,L0,L0-05,highway lane change merging,1.0,1.0,0.88,100
002,bm25,L0,L0-06,highway poor visibility warning sign,1.0,1.0,0.9,72
002,bm25,L0,L0-07,vehicle sudden braking ahead,1.0,1.0,1.17,97
002,bm25,L0,L0-08,emergency braking to avoid collision,1.0,1.0,0.62,100
002,bm25,L0,L0-09,red light stopping intersection,0.4,1.0,0.82,99
002,bm25,L0,L0-10,pedestrian suddenly enters road,0.6,1.0,0.8,43
002,bm25,L0,L0-11,pedestrian crossing with dog,1.0,1.0,0.51,67
002,bm25,L0,L0-12,children near school zone,1.0,1.0,0.48,86
002,bm25,L0,L0-13,foggy conditions reduced visibility,1.0,1.0,0.8,89
002,bm25,L0,L0-14,rainy road wet conditions,1.0,1.0,0.87,99
002,bm25,L0,L0-15,parking lot reversing,1.0,1.0,6.66,94
002,bm25,L0,L0-16,narrow road parked vehicles on both sides,1.0,1.0,1.37,99
002,bm25,L0,L0-17,cyclist entering road unexpectedly,0.8,1.0,0.72,73
002,bm25,L0,L0-18,truck parked blocking lane,1.0,1.0,0.76,56
002,bm25,L0,L0-19,bus stop with passengers,0.8,1.0,8.99,37
002,bm25,L0,L0-20,animal crossing road wildlife,1.0,1.0,0.74,74
002,bm25,L1,L1-01,wet road surface after heavy rain,1.0,1.0,0.93,101
002,bm25,L1,L1-02,low visibility due to dense fog,1.0,1.0,0.68,86
002,bm25,L1,L1-03,standstill traffic congestion on highway,1.0,1.0,0.87,94
002,bm25,L1,L1-04,active school zone with speed limit,1.0,1.0,0.61,85
002,bm25,L1,L1-05,construction zone with lane narrowing,1.0,1.0,0.66,99
002,bm25,L1,L1-06,tunnel exit sudden brightness change,0.6,1.0,0.53,54
002,bm25,L1,L1-07,icy slippery road surface in winter,1.0,1.0,0.7,100
002,bm25,L1,L1-08,highway on-ramp merging into fast traffic,1.0,1.0,0.86,87
002,bm25,L1,L1-09,pedestrian crosswalk with active signal,0.8,1.0,0.52,60
002,bm25,L1,L1-10,sharp curve with limited visibility ahead,1.0,1.0,0.93,90
002,bm25,L2,L2-01,wet road causes emergency braking near pedestrian,0.8,0.5,0.8,92
002,bm25,L2,L2-02,fog reduces visibility leading to late hazard detection,1.0,1.0,0.62,96
002,bm25,L2,L2-03,pedestrian steps into road triggering swerve and near-miss,0.6,1.0,0.74,75
